# claude — a handwritten pipeline-stress / coverage suite.
#
# This suite is for *testing the pp2lp pipeline*, not for staying green.  It
# deliberately spans the whole rule space (every PP family) and the whole
# proof-size span (one-rule leaves → 200+-rule proofs), AND it probes the known
# frontier: set-equality / equality-congruence, arithmetic antisymmetry and
# double-negation (AR4/AR7/AR8), INS over rewritten hyps, NAT membership, and
# existential/quantifier shapes REPLAY mishandles.  Authored by hand, grouped by
# what each section tests.
#
# INVARIANT: every goal is a genuine theorem submitted to PP as the BARE goal —
# no hypotheses, no goal-as-hypothesis self-promotion.  PP proves it outright,
# closing the goal's free variables universally and inferring their types from
# context.  A goal PP cannot prove produces no .trace and is rejected at gen time
# (see the guardrail in gen_traces), so it does not belong here.  (Mind PP's
# parser: `<=>` binds tighter than `&`, and `=>` is left-associative —
# parenthesise accordingly, e.g. `(a & b) <=> (b & a)`, `x<=y => (y<=x => x=y)`.)
#
# Format: name | kind | goal
#   prop  — bare identifiers are propositional variables
#   expr  — bare identifiers are expression variables (sets / functions / ints)
#
# `goals.txt` is the source of truth — regenerate with `pp2lp gen claude`,
# check with `pp2lp run claude`.  Coverage notes (→ RULE) are intended targets;
# measure actual firings from the generated `.replay` files.  Some goals are
# theorems pp2lp cannot yet *translate* (Farkas, AR4/AR7/AR8, …); those fail at
# the lambdapi-check stage, not at PP — a signal about the pipeline frontier.

# ════════════════════════════════════════════════════════════════════════
# A. Propositional connectives — AND / OR / NOT, tiny → medium  (AND*, OR*, NOT*)
# ════════════════════════════════════════════════════════════════════════

# leaves (1–3 rules)

# identity / idempotence
p_imp_self        | prop | a => a
gx_interel15_p4            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 => x: s4
gx_interel15_p5            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 => x: s5
gx_interel15_p6            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 => x: s6
gx_interel15_p7            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 => x: s7
gx_interel15_p8            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 => x: s8
gx_interel15_p9            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 => x: s9
gx_interel15_p10           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 => x: s10
gx_interel15_p11           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 => x: s11
gx_interel15_p12           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 => x: s12
gx_interel15_p13           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 => x: s13
gx_interel15_p14           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 => x: s14
gx_interel15_p15           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 => x: s15
gx_interel16_p1            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s1
gx_interel16_p2            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s2
gx_interel16_p3            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s3
gx_interel16_p4            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s4
gx_interel16_p5            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s5
gx_interel16_p6            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s6
gx_interel16_p7            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s7
gx_interel16_p8            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s8
gx_interel16_p9            | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s9
gx_interel16_p10           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s10
gx_interel16_p11           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s11
gx_interel16_p12           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s12
gx_interel16_p13           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s13
gx_interel16_p14           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s14
gx_interel16_p15           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s15
gx_interel16_p16           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 => x: s16
gx_interel18_first         | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 /\ s17 /\ s18 => x: s1
gx_interel18_mid           | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 /\ s17 /\ s18 => x: s9
gx_interel18_last          | expr | x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 /\ s17 /\ s18 => x: s18
gx_subinter3_first         | expr | s1 /\ s2 /\ s3 <: s1
gx_subinter3_mid           | expr | s1 /\ s2 /\ s3 <: s2
gx_subinter3_last          | expr | s1 /\ s2 /\ s3 <: s3
gx_subinter4_first         | expr | s1 /\ s2 /\ s3 /\ s4 <: s1
gx_subinter4_mid           | expr | s1 /\ s2 /\ s3 /\ s4 <: s2
gx_subinter4_last          | expr | s1 /\ s2 /\ s3 /\ s4 <: s4
gx_subinter5_first         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 <: s1
gx_subinter5_mid           | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 <: s3
gx_subinter5_last          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 <: s5
gx_subinter6_first         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 <: s1
gx_subinter6_mid           | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 <: s3
gx_subinter6_last          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 <: s6
gx_subinter7_first         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 <: s1
gx_subinter7_mid           | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 <: s4
gx_subinter7_last          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 <: s7
gx_subinter8_first         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 <: s1
gx_subinter8_mid           | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 <: s4
gx_subinter8_last          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 <: s8
gx_subinter9_first         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 <: s1
gx_subinter9_mid           | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 <: s5
gx_subinter9_last          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 <: s9
gx_subinter10_first        | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 <: s1
gx_subinter10_mid          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 <: s5
gx_subinter10_last         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 <: s10
gx_subinter11_first        | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 <: s1
gx_subinter11_mid          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 <: s6
gx_subinter11_last         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 <: s11
gx_subinter12_first        | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 <: s1
gx_subinter12_mid          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 <: s6
gx_subinter12_last         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 <: s12
gx_subinter13_first        | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 <: s1
gx_subinter13_mid          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 <: s7
gx_subinter13_last         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 <: s13
gx_subinter14_first        | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 <: s1
gx_subinter14_mid          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 <: s7
gx_subinter14_last         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 <: s14
gx_subinter15_first        | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 <: s1
gx_subinter15_mid          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 <: s8
gx_subinter15_last         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 <: s15
gx_subinter16_first        | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 <: s1
gx_subinter16_mid          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 <: s8
gx_subinter16_last         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 <: s16
gx_subinter17_first        | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 /\ s17 <: s1
gx_subinter17_mid          | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 /\ s17 <: s9
gx_subinter17_last         | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12 /\ s13 /\ s14 /\ s15 /\ s16 /\ s17 <: s17
gx_subunion3_first         | expr | s1 <: s1 \/ s2 \/ s3
gx_subunion3_mid           | expr | s2 <: s1 \/ s2 \/ s3
gx_subunion3_last          | expr | s3 <: s1 \/ s2 \/ s3
gx_subunion4_first         | expr | s1 <: s1 \/ s2 \/ s3 \/ s4
gx_subunion4_mid           | expr | s2 <: s1 \/ s2 \/ s3 \/ s4
gx_subunion4_last          | expr | s4 <: s1 \/ s2 \/ s3 \/ s4
gx_subunion5_first         | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5
gx_subunion5_mid           | expr | s3 <: s1 \/ s2 \/ s3 \/ s4 \/ s5
gx_subunion5_last          | expr | s5 <: s1 \/ s2 \/ s3 \/ s4 \/ s5
gx_subunion6_first         | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6
gx_subunion6_mid           | expr | s3 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6
gx_subunion6_last          | expr | s6 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6
gx_subunion7_first         | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7
gx_subunion7_mid           | expr | s4 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7
gx_subunion7_last          | expr | s7 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7
gx_subunion8_first         | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8
gx_subunion8_mid           | expr | s4 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8
gx_subunion8_last          | expr | s8 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8
gx_subunion9_first         | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9
gx_subunion9_mid           | expr | s5 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9
gx_subunion9_last          | expr | s9 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9
gx_subunion10_first        | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10
gx_subunion10_mid          | expr | s5 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10
gx_subunion10_last         | expr | s10 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10
gx_subunion11_first        | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11
gx_subunion11_mid          | expr | s6 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11
gx_subunion11_last         | expr | s11 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11
gx_subunion12_first        | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12
gx_subunion12_mid          | expr | s6 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12
gx_subunion12_last         | expr | s12 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12
gx_subunion13_first        | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13
gx_subunion13_mid          | expr | s7 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13
gx_subunion13_last         | expr | s13 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13
gx_subunion14_first        | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13 \/ s14
gx_subunion14_mid          | expr | s7 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13 \/ s14
gx_subunion14_last         | expr | s14 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13 \/ s14
gx_subunion15_first        | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13 \/ s14 \/ s15
gx_subunion15_mid          | expr | s8 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13 \/ s14 \/ s15
gx_subunion15_last         | expr | s15 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13 \/ s14 \/ s15
gx_subunion16_first        | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13 \/ s14 \/ s15 \/ s16
gx_subunion16_mid          | expr | s8 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13 \/ s14 \/ s15 \/ s16
gx_subunion16_last         | expr | s16 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13 \/ s14 \/ s15 \/ s16
gx_subunion17_first        | expr | s1 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13 \/ s14 \/ s15 \/ s16 \/ s17
gx_subunion17_mid          | expr | s9 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13 \/ s14 \/ s15 \/ s16 \/ s17
gx_subunion17_last         | expr | s17 <: s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 \/ s13 \/ s14 \/ s15 \/ s16 \/ s17
gx_glb2                    | expr | u <: s1 & u <: s2 => u <: s1 /\ s2
gx_glb3                    | expr | u <: s1 & u <: s2 & u <: s3 => u <: s1 /\ s2 /\ s3
gx_glb4                    | expr | u <: s1 & u <: s2 & u <: s3 & u <: s4 => u <: s1 /\ s2 /\ s3 /\ s4
gx_glb5                    | expr | u <: s1 & u <: s2 & u <: s3 & u <: s4 & u <: s5 => u <: s1 /\ s2 /\ s3 /\ s4 /\ s5
gx_glb6                    | expr | u <: s1 & u <: s2 & u <: s3 & u <: s4 & u <: s5 & u <: s6 => u <: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6
gx_glb7                    | expr | u <: s1 & u <: s2 & u <: s3 & u <: s4 & u <: s5 & u <: s6 & u <: s7 => u <: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7
gx_glb8                    | expr | u <: s1 & u <: s2 & u <: s3 & u <: s4 & u <: s5 & u <: s6 & u <: s7 & u <: s8 => u <: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8
gx_glb9                    | expr | u <: s1 & u <: s2 & u <: s3 & u <: s4 & u <: s5 & u <: s6 & u <: s7 & u <: s8 & u <: s9 => u <: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9
gx_glb10                   | expr | u <: s1 & u <: s2 & u <: s3 & u <: s4 & u <: s5 & u <: s6 & u <: s7 & u <: s8 & u <: s9 & u <: s10 => u <: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10
gx_glb11                   | expr | u <: s1 & u <: s2 & u <: s3 & u <: s4 & u <: s5 & u <: s6 & u <: s7 & u <: s8 & u <: s9 & u <: s10 & u <: s11 => u <: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11
gx_glb12                   | expr | u <: s1 & u <: s2 & u <: s3 & u <: s4 & u <: s5 & u <: s6 & u <: s7 & u <: s8 & u <: s9 & u <: s10 & u <: s11 & u <: s12 => u <: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12
gx_lub2                    | expr | s1 <: u & s2 <: u => s1 \/ s2 <: u
gx_lub3                    | expr | s1 <: u & s2 <: u & s3 <: u => s1 \/ s2 \/ s3 <: u
gx_lub4                    | expr | s1 <: u & s2 <: u & s3 <: u & s4 <: u => s1 \/ s2 \/ s3 \/ s4 <: u
gx_lub5                    | expr | s1 <: u & s2 <: u & s3 <: u & s4 <: u & s5 <: u => s1 \/ s2 \/ s3 \/ s4 \/ s5 <: u
gx_lub6                    | expr | s1 <: u & s2 <: u & s3 <: u & s4 <: u & s5 <: u & s6 <: u => s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 <: u
gx_lub7                    | expr | s1 <: u & s2 <: u & s3 <: u & s4 <: u & s5 <: u & s6 <: u & s7 <: u => s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 <: u
gx_lub8                    | expr | s1 <: u & s2 <: u & s3 <: u & s4 <: u & s5 <: u & s6 <: u & s7 <: u & s8 <: u => s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 <: u
gx_lub9                    | expr | s1 <: u & s2 <: u & s3 <: u & s4 <: u & s5 <: u & s6 <: u & s7 <: u & s8 <: u & s9 <: u => s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 <: u
gx_lub10                   | expr | s1 <: u & s2 <: u & s3 <: u & s4 <: u & s5 <: u & s6 <: u & s7 <: u & s8 <: u & s9 <: u & s10 <: u => s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 <: u
gx_lub11                   | expr | s1 <: u & s2 <: u & s3 <: u & s4 <: u & s5 <: u & s6 <: u & s7 <: u & s8 <: u & s9 <: u & s10 <: u & s11 <: u => s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 <: u
gx_lub12                   | expr | s1 <: u & s2 <: u & s3 <: u & s4 <: u & s5 <: u & s6 <: u & s7 <: u & s8 <: u & s9 <: u & s10 <: u & s11 <: u & s12 <: u => s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 \/ s11 \/ s12 <: u
gx_meetmem2                | expr | x: s1 & x: s2 => x: s1 /\ s2
gx_meetmem3                | expr | x: s1 & x: s2 & x: s3 => x: s1 /\ s2 /\ s3
gx_meetmem4                | expr | x: s1 & x: s2 & x: s3 & x: s4 => x: s1 /\ s2 /\ s3 /\ s4
gx_meetmem5                | expr | x: s1 & x: s2 & x: s3 & x: s4 & x: s5 => x: s1 /\ s2 /\ s3 /\ s4 /\ s5
gx_meetmem6                | expr | x: s1 & x: s2 & x: s3 & x: s4 & x: s5 & x: s6 => x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6
gx_meetmem7                | expr | x: s1 & x: s2 & x: s3 & x: s4 & x: s5 & x: s6 & x: s7 => x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7
gx_meetmem8                | expr | x: s1 & x: s2 & x: s3 & x: s4 & x: s5 & x: s6 & x: s7 & x: s8 => x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8
